customer_id,gender
6740969,1.0
36599781,0.0
91453656,1.0
17431962,1.0
72568668,1.0
10353051,1.0
59585814,0.0
92874020,1.0
46360820,1.0
24560423,1.0
73685445,1.0
59709592,0.0
88269777,1.0
91248365,1.0
29267573,0.0
2132533,1.0
92326906,0.0
70469083,1.0
14466652,0.0
35528109,0.0
48041843,1.0
14143258,1.0
28889897,1.0
31371860,0.0
31118768,1.0
71870167,0.0
33754176,0.0
47652409,0.0
99804009,0.0
18073912,0.0
97076546,0.0
91791462,1.0
16634239,1.0
57513608,1.0
47268746,0.0
4068743,0.0
581481,1.0
36973559,0.0
73534440,0.0
64312830,1.0
98222191,0.0
52541686,0.0
69124433,0.0
91974511,1.0
54760611,0.0
50392639,0.0
13620003,1.0
19164890,0.0
8311063,1.0
16015698,1.0
4906390,1.0
79844656,0.0
47578863,1.0
43021002,0.0
17685580,1.0
67237463,0.0
68838345,0.0
97623546,1.0
82836263,1.0
91188693,0.0
17194012,0.0
42246782,1.0
93894881,0.0
56783691,1.0
87071173,0.0
30791828,0.0
45083298,1.0
59901772,0.0
20190882,1.0
95154029,0.0
59319576,1.0
98804574,0.0
27883649,1.0
54236542,0.0
98127642,1.0
34362299,0.0
75685549,1.0
41801454,1.0
1289086,1.0
69685927,0.0
21019874,1.0
64816448,1.0
42947433,1.0
80378441,0.0
84345871,0.0
66116219,0.0
27149366,0.0
51028881,1.0
80603751,1.0
89597970,1.0
66644039,0.0
42548101,1.0
14349913,0.0
35916400,0.0
36713930,1.0
78958375,0.0
772334,0.0
20946104,1.0
70398779,1.0
50081041,1.0
24201843,1.0
3857377,1.0
39080514,0.0
34356731,0.0
38084,0.0
85815529,0.0
72500935,0.0
51111196,1.0
11060478,0.0
27708166,0.0
71867287,0.0
81375535,0.0
45928448,0.0
81305571,1.0
58669583,0.0
75650930,0.0
37837806,1.0
26965510,0.0
81294046,1.0
8576527,1.0
19658089,0.0
58380578,1.0
40917212,0.0
36489134,0.0
99331995,0.0
62926046,1.0
36622596,0.0
18911055,0.0
62225605,1.0
51680121,0.0
30697873,1.0
13935326,0.0
12965529,1.0
54539271,0.0
72446283,0.0
46386937,0.0
68099692,1.0
21239347,1.0
33182077,0.0
48539312,1.0
25174482,0.0
17256393,0.0
19652861,0.0
15088828,0.0
74132202,0.0
8941778,0.0
81583222,0.0
35540196,0.0
95312022,1.0
95015222,0.0
80243149,0.0
21283235,1.0
89442192,1.0
72455580,0.0
78529495,1.0
61942604,1.0
75733224,0.0
11533763,1.0
87712186,1.0
11476779,1.0
27062076,0.0
48709595,0.0
19327580,1.0
62684352,0.0
97672162,0.0
6506671,0.0
63229039,1.0
24953128,0.0
68234295,1.0
6317738,1.0
98507645,0.0
37245184,0.0
49446707,1.0
16143064,0.0
7846872,0.0
21143923,0.0
61855287,0.0
27305636,0.0
6673556,0.0
61172279,1.0
10727511,1.0
18059478,1.0
17543160,0.0
